alim_nom_fr;Energie, Règlement UE N° 1169/2011 (kJ/100 g);Energie, Règlement UE N° 1169/2011 (kcal/100 g);Protéines, N x 6.25 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Glucose (g/100 g);Alcool (g/100 g)
Sandwich baguette, pâté, cornichons;1250;298;10,1;32,1;13,9;2,44;-;0
Sandwich baguette, saucisson, beurre;1600;383;13,7;32;21,6;2,36;0,8;0
Sandwich baguette, jambon, emmental, beurre;1200;286;12,2;32,7;10,9;2,87;1,17;0
Sandwich (aliment moyen);1020;243;14,2;27,2;8,35;;;0
Toasts ou Canapés salés, garnitures diverses, préemballés;971;233;9,09;17,8;13,3;5,75;2;0
Sandwich baguette, crudités diverses, mayonnaise;930;221;6,54;30;7,9;2,67;-;0
Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise;1070;255;12,4;30,6;8,82;2,24;-;0
Sandwich baguette, oeuf, crudités (tomate, salade), mayonnaise;1040;247;8,52;30,9;9,47;2,38;-;0
Sandwich baguette, porc, crudités (tomate, salade), mayonnaise;1120;267;12;30,1;10,6;2,3;-;0
Sandwich baguette, merguez, ketchup moutarde;1180;282;13,1;31;11,4;2,92;-;0
Sandwich baguette, salami, beurre;1580;379;12,5;33,2;21,4;2,01;-;0
Croque-madame;1100;264;13,7;16,9;15,5;1,37;-;0
Sandwich baguette (aliment moyen);1160;277;11,2;31,4;11,6;2,46;;0
Sandwich pain de mie, garnitures diverses, préemballé;1120;267;11,7;25,1;12,4;3,42;1,06;0
Croque-monsieur, préemballé;1140;273;11,3;26,8;12,9;2,14;0,48;0
Sandwich pain de mie complet, jambon, crudités, fromage optionnel, préemballé;1020;243;10;23,1;11,6;2,43;-;0
Sandwich pain de mie complet, thon, crudités, mayonnaise, préemballé;1010;240;9,82;23,1;11,3;2,49;-;0
Sandwich pain de mie complet, jambon, fromage, préemballé;1220;292;12,9;26,1;14,6;7,75;-;0
Sandwich pain de mie complet, poulet, crudités, mayonnaise, préemballé;972;232;9,18;23,7;10,4;2,61;-;0
Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.), préemballé;1340;321;11,6;25,6;18,4;2,68;0,38;0
Samossa ou Samoussa, préemballé, cuit;960;230;9,33;16,5;13,7;2,45;1,09;0
Feuilleté au poisson et / ou fruits de mer;1070;255;6,55;26,5;13;4,3;-;0
Spécialité chinoise type bouchée à la vapeur, préemballée, cuite;630;149;5,9;28;1,4;3,9;0,88;0
Feuilleté aux escargots, préemballé;1340;321;6,69;23,1;22,1;1,09;-;0
Feuilleté ou Friand au fromage;1260;302;8,25;28,1;17,1;3,86;0,36;0
Feuilleté ou Friand à la viande, préemballé;1450;348;9,59;25,9;22,6;1,17;0,47;0
Bouchée à la reine, à la viande/volaille/quenelle;1220;292;6,12;23,5;18,9;2,6;0,16;0
Croissant au jambon;1010;243;7,9;19,2;14,6;2,6;0,67;0
Rouleau de printemps;437;103;4,57;16,6;1,82;3,6;-;0
Nem ou Pâté impérial;904;216;6,48;21,1;11,2;3,02;0,57;0
Brick garni (garniture : crevettes, légumes, volaille, viande, poisson, etc.), fait maison, cuit;781;187;12,2;8,48;11,5;0,72;-;0
Bouchée à la reine, au poisson et fruits de mer;860;206;6,72;13,4;13,8;2,43;-;0
Feuilleté ou Friand jambon fromage;1210;290;8,46;25,7;16,7;3,65;0,19;0
Beignet de viande, volaille ou poisson, fait maison, cru;993;238;18,7;10;13,5;0,92;-;0
Brick à l'oeuf, fait maison, cuit;1060;255;10,4;12,3;18,1;1,6;-;0
Brick au boeuf;1430;342;10,4;33,5;17;3,2;-;0
Brick à la pomme de terre, fait maison, cuit;898;215;3,25;19,6;13,4;1,5;-;0
Feuilleté salé (aliment moyen);1260;301;8,39;26,1;17,8;3,03;0,41;0
Bouchée à la reine, garnie (aliment moyen);1040;249;6,42;18,4;16,3;2,52;;0
Nem ou Pâté impérial, au poulet, préemballé, cuit;827;197;8,06;20,9;8,1;1,9;0,5;0
Nem ou Pâté impérial, au porc, préemballé, cuit;991;237;6,88;22,6;12,7;1,9;0,5;0
Nem ou Pâté impérial, aux crevettes et/ou au crabe, préemballé, cuit;892;213;7,44;23,7;9,2;2,4;0,6;0
Croissant au jambon fromage, préemballé;1080;258;8,92;22;14,5;2,77;-;0
Avocat, pulpe, cru;843;205;1,56;0,83;20,6;0,4;0,16;0
Bette ou blette, crue;68,3;16,4;1;1,63;< 0,5;1,2;0,7;0
Carotte, crue;169;40,2;0,63;7,59;< 0,5;6;1,1;0
Champignon, tout type, cru;91,2;21,7;2,37;1,88;0,23;1,43;0,82;0
Salade ou chicorée frisée, crue;-;-;1,48;2,4;0,25;0,7;-;0
Chou rouge, cru;126;30;1,13;4,33;< 0,5;3,9;2,2;0
Chou-fleur, cru;109;26,2;1,81;2,13;0,7;1,7;0,9;0
Concombre, pulpe et peau, cru;65,8;15,6;0,64;2,54;0,11;1,67;0,54;0
Courgette, pulpe et peau, crue;69,4;16,5;1,23;1,8;0,26;1,79;0,76;0
Cresson de fontaine, cru;-;-;2,09;0,9;0,15;0,2;-;0
Céleri branche, cru;73,4;17,6;0,63;2,41;< 0,5;1,3;0,51;0
Endive, crue;84,8;20,2;1,19;2,83;< 0,5;2,4;1,5;0
Fenouil, cru;90,9;21,8;1;2,63;< 0,5;2,2;1,2;0
Laitue, crue;-;-;1,3;1,33;0,2;0,73;0,33;0
Oignon, cru;-;-;1,1;6,25;0,62;4,8;1,6;0
Pissenlit, cru;-;-;2,91;6,1;0,85;0,71;-;0
Poireau, cru;136;32,3;1,49;4,9;0,25;3,15;0,65;0
Poivron, vert, jaune ou rouge, cru;-;-;0,8;4,55;0,27;2,7;-;0
Potiron, cru;-;-;1;3,5;0,1;1,36;-;0
Radis rouge, cru;60,7;14,5;0,94;1,53;< 0,5;1,1;0,7;0
Tomate, crue;81,1;19,3;0,86;2,49;0,26;2,48;1,08;0
Artichaut, cru;-;-;3,2;4,92;0,18;0,99;-;0
Aubergine, crue;-;-;1,12;2,39;0,14;2,39;1,13;0
Cardon, cru;-;-;0,7;1,7;0,1;1,5;-;0
Céleri-rave, cru;122;29,3;1,38;3,98;< 0,5;1,6;< 0,2;0
Champignon de Paris ou champignon de couche, cru;118;28;2,62;3,15;0,36;2,5;2,01;0
Brocoli, cru;-;-;3,95;1,7;0,48;1,7;0,48;0
Chou de Bruxelles, cru;-;-;3,98;5,67;0,4;2,2;0,52;0
Épinard, cru;-;-;2,62;2,25;0,5;0,32;0,078;0
Haricot vert, cru;-;-;1,85;4,14;0,21;3,26;0,99;0
Navet, pelé, cru;-;-;0,76;4,7;0,1;3,8;-;0
Chou-rave, cru;-;-;1,79;2,35;0,1;2,35;-;0
Chou vert, cru;-;-;2,53;1,92;0,41;1,92;1;0
Haricot vert, surgelé, cru;142;34;1,97;4,35;0,17;1,96;0,47;0
Petits pois, crus;-;-;5,84;7;0,55;5,67;0,15;0
Asperge, pelée, crue;-;-;2,04;2,4;0,21;1,88;0,49;0
Chou-fleur, surgelé, cru;-;-;2,09;2,64;0,37;1,91;-;0
Épinard, surgelé, cru;-;-;2,87;0,89;0,49;0,6;0,2;0
Petits pois, surgelés, crus;-;-;5,86;8,77;0,44;3,87;0,064;0
Poivron vert, cru;109;26;0,81;3,43;< 0,5;3;1,5;0
Poivron rouge, cru;153;36,6;1,06;5,98;< 0,5;4,8;2,2;0
Radis noir, cru;123;29,2;0,94;5,52;< 0,3;4,3;2,6;0
Scarole, crue;-;-;1,25;0,3;0,2;0,23;-;0
Betterave rouge, crue;-;-;1,74;9,1;0,24;6,76;0,35;0
Échalote, crue;269;63,6;1,81;12,2;< 0,5;3,3;0,5;0
Mâche, crue;70,1;16,8;2;0,5;< 0,5;traces;< 0,2;0
Légumes, mélange surgelé, crus;271;65,1;2,26;5,71;2,65;2,18;0,82;0
Champignon, chanterelle ou girolle, crue;137;33,1;2,28;2,3;0,78;1,87;1,16;0
Champignon, morille, crue;102;24,5;3,16;0,1;0,54;0,044;0,044;0
Champignon, truffe noire, crue;-;-;5,77;-;0,51;0,7;-;0
Maïs doux, en épis, surgelé, cru;-;-;3,36;17;1,19;3,78;0,6;0
Oseille, crue;-;-;1,84;1,6;0,65;1,54;-;0
Champignon, pleurote, crue;107;25,5;3,06;1,5;0,36;0,71;0,71;0
Chou blanc, cru;153;36,5;1,38;4,63;0,6;4,2;2,4;0
Tomate verte, crue;-;-;1,2;4;0,2;4;-;0
Batavia, crue;74,6;17,9;1,25;1,78;< 0,5;1,1;0,5;0
Haricot de Lima, cru;444;105;6,84;15,3;0,86;1,48;-;0
Courge musquée, pulpe, crue;-;-;0,55;4,6;0,1;-;-;0
Potimarron, pulpe, cru;-;-;0,63;3,1;0,1;-;1,1;0
Courge hokkaïdo, pulpe, crue;-;-;1,4;9,98;0,6;-;-;0
Courge melonnette, pulpe, crue;-;-;0,75;5,98;0,13;-;-;0
Courge doubeurre (butternut), pulpe, crue;-;-;1;5,4;0,1;2,2;0,99;0
Courge, crue;-;-;1,1;1,6;0,17;1,6;0,7;0
Courge spaghetti, pulpe, crue;-;-;0,64;5,41;0,57;2,76;-;0
Piment, cru;-;-;1,87;7,7;0,32;5,3;-;0
Champignon, oronge vraie, crue;97,2;23,2;2;2,45;0,3;1;-;0
Champignon, cèpe, cru;133;31,6;3,13;3,03;0,43;1,7;0,27;0
Champignon, rosé des prés, cru;106;25,3;2,3;2,45;0,4;1;-;0
Chicorée rouge, crue;-;-;1,4;1,6;0,1;1,6;-;0
Chicorée verte, crue;-;-;1,9;0,5;0,5;0,5;-;0
Citrouille, pulpe, crue;-;-;1;6;0,1;2,76;-;0
Chou chinois ou pak-choi ou pé-tsai, cru;-;-;1,38;1,65;0,2;1,18;0,82;0
Poivron jaune, cru;130;30,7;0,94;4,73;0,3;4,3;2;0
Laitue romaine, crue;-;-;1,24;1,2;0,3;1,19;0,39;0
Tomate cerise, crue;142;33,7;1,31;5,62;< 0,5;4,8;2,3;0
Pois mange-tout ou pois gourmand, cru;-;-;3,08;6,2;0,27;4;-;0
Panais, cru;245;58,3;1,54;10,1;0,4;4,8;-;0
Haricot mungo germé ou pousse de 'soja', cru;-;-;2,81;3,4;< 0,5;3,4;-;0
Tomate côtelée ou coeur de boeuf, crue;83,4;19,8;0,5;3,23;< 0,5;2,8;1,2;0
Haricot beurre, cru;-;-;1,85;5,6;0,16;-;-;0
Salsifis noir, ou scorsonère d'Espagne, cru;-;-;3,13;15,3;0,3;-;-;0
Bambou, pousse, crue;148;35,1;2,52;5,08;0,2;3;-;0
Cresson alénois, cru;-;-;2,55;2,2;0,6;2,2;0,16;0
Laitue iceberg, crue;-;-;1,01;2,45;0,18;1,48;0,62;0
Rutabaga, cru;-;-;1,17;5,7;0,13;4,46;2,3;0
Haricot beurre, surgelé, cru;-;-;2;4,9;0,17;2,5;-;0
Brocoli, surgelé, cru;-;-;2,79;1,56;0,44;1,24;0,49;0
Chou de Bruxelles, surgelé, cru;-;-;3,43;4,5;0,33;2,35;-;0
Carotte, surgelée, crue;-;-;0,63;4,99;0,27;4,73;0,4;0
Concombre, pulpe, cru;61,6;14,7;0,56;2,23;< 0,5;1,8;0,8;0
Petits pois et carottes, surgelés, crus;-;-;3,89;7,1;0,37;3,43;0,31;0
Roquette, crue;-;-;2,58;2,1;0,66;2,05;-;0
Chou frisé, cru;-;-;4,33;4,2;1,07;2,26;0,54;0
Champignon de Paris ou champignon de couche, surgelé, cru;66,2;15,9;1,8;0,83;0,25;0,25;-;0
Courgette, pulpe et peau, surgelée, crue;-;-;1,19;2,18;0,14;1,56;0,7;0
Crosne, surgelé, cru;-;-;1,4;8,7;0;0,5;-;0
Artichaut, fond, surgelé, cru;-;-;2,08;8,09;0,43;1,89;-;0
Maïs doux, surgelé, cru;-;-;3,28;19,8;0,78;3,78;0,59;0
Navet, surgelé, cru;-;-;0,82;2;0,18;1,9;-;0
Oignon, surgelé, cru;-;-;1;5,39;0,12;4,59;-;0
Poireau, surgelé, cru;112;26,7;1,42;3,35;0,29;2,95;1,28;0
Salsifis, surgelé, cru;-;-;2,65;4,15;0,15;2,5;-;0
Oignon rouge, cru;153;36,3;1,31;5,63;0,4;5,2;2,2;0
Oignon jaune, cru;159;37,8;1,19;6,39;< 0,5;0,2;< 0,2;0
Légumes pour potages, surgelés, crus;143;34,1;1,44;4,69;0,44;2,5;0,8;0
Julienne ou brunoise de légumes, surgelée, crue;-;-;1,19;4,08;0,25;3,13;-;0
Légumes pour ratatouille, surgelés;-;-;1,01;3,23;0,089;2,88;1,33;0
Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons);-;-;2,4;8,48;0,078;2,62;0,58;0
Haricot plat, cru;-;-;1,93;4,47;0,12;1,3;0,6;0
Épinard, jeunes pousses pour salades, cru;76;18,3;2,06;< 0,85;0,4;traces;< 0,2;0
Mesclun ou salade, mélange de jeunes pousses;-;-;2;2,5;0;0;-;0
Tomate ronde, crue;85,6;20,3;0,5;3,59;< 0,5;2,8;1,2;0
Asperge, verte, crue;-;-;2,46;2,03;0,27;1,5;-;0
Chou romanesco ou brocoli à pomme, cru;-;-;2,93;2,2;0,4;2,2;-;0
Asperge, blanche ou violette, pelée, crue;-;-;2,5;2,5;0,3;-;-;0
Salicorne (Salicornia sp.), fraîche;-;-;0,67;1,1;0,24;-;-;0
Salade sucrine, crue;75,5;17,9;1,13;2,58;< 0,3;1,78;0,8;0
Salade feuille de chêne, crue;59,3;14,3;1,13;1,03;< 0,5;0,6;0,3;0
Légumes pour couscous, surgelés, crus;195;46,5;2,05;6,75;0,7;3,05;-;0
Tomate grappe, crue;84,3;20,1;0,5;3,03;< 0,5;2,6;1,2;0
Salade verte, crue, sans assaisonnement;-;-;1,01;1,5;0,1;0,83;-;0
Banane plantain, crue;-;-;1,28;29,6;0,39;-;-;0
Chayote ou christophine ou chouchou, bouillie/cuite à l'eau;-;-;0,62;2,29;0,48;-;-;0
Artichaut, cuit;-;-;2,53;0,99;0,28;0,99;0,24;0
Asperge, bouillie/cuite à l'eau;-;-;2,68;0,81;0,32;0,81;0,26;0
Aubergine, cuite;-;-;1,33;4,17;0,28;3,41;1,4;0
Betterave rouge, cuite;180;42,8;1,44;7,13;0,4;6,7;0,8;0
Bette ou blette, cuite;61,1;14,7;0,7;1,23;< 0,5;0,8;0,5;0
Brocoli, cuit;-;-;2,1;1,1;0,78;1,1;< 0,5;0
Carotte, appertisée, égouttée;92;21,9;0,67;3,4;0,2;2,49;-;0
Carotte, cuite;78,8;18,9;0,55;2,6;0,1;1,3;< 0,5;0
Champignon, tout type, appertisé, égoutté;104;24,9;1,87;2,56;0,29;2,19;-;0
Chou de Bruxelles, cuit;-;-;2,6;4,2;0,11;1,7;< 0,5;0
Chou vert, cuit;-;-;1,03;3,04;0,45;2,79;1,62;0
Chou-fleur, cuit;87,3;20,9;1,6;1,6;0,46;1,59;< 0,5;0
Coeur de palmier, appertisé, égoutté;-;-;2,45;4,03;0,5;1,5;-;0
Courgette, pulpe et peau, cuite;64,9;15,5;0,93;1,4;0,36;1,39;< 0,5;0
Céleri branche, cuit;-;-;0,83;1,2;0,16;1,2;0,56;0
Céleri-rave, cuit;-;-;1,3;4,6;0,86;2,8;1,1;0
Épinard, cuit;-;-;3,2;0,5;0,14;0,47;< 0,5;0
Haricot mungo germé ou pousse de 'soja', appertisé, égoutté;-;-;1,71;2,36;0,12;1,78;-;0
Haricot vert, cuit;123;29,4;2;3;0,17;1;< 0,5;0
Navet, cuit;-;-;0,9;3,8;0,2;2,9;1,6;0
Oignon, cuit;-;-;1,3;6,2;0,2;4;1,3;0
Petits pois, appertisés, égouttés;342;81,5;5,12;10,7;0,8;3,59;0,17;0
Petits pois, cuits;-;-;5,8;4,7;0,87;1,8;< 0,5;0
Poireau, cuit;-;-;1,1;3;0,2;2,11;< 0,5;0
Potiron, appertisé, égoutté;-;-;1,1;5,19;0,28;3,3;-;0
Salsifis, cuit;-;-;2,73;12,3;0,17;2,9;-;0
Tomate, pelée, appertisée, égouttée;76,9;18,3;1,07;1,89;0,28;1,88;0,87;0
Maïs doux, en épis, cuit;-;-;3,41;18,6;1,5;4,54;0,84;0
Macédoine de légumes, appertisée, égouttée;170;40,4;2,32;5,59;0,28;1,73;-;0
Épinard, appertisé, égoutté;-;-;2,81;0,93;0,5;0,4;-;0
Haricot vert, appertisé, égoutté;96,1;23,1;1,33;2,07;0,31;0,77;0,29;0
Haricot beurre, appertisé, égoutté;-;-;1,22;3,48;0,23;0,86;-;0
Maïs doux, appertisé, égoutté;447;106;2,82;18,4;1,68;5,16;0,55;0
Artichaut, appertisé, égoutté;-;-;1,5;6,5;0,2;1,5;-;0
Tomate, concentré, appertisé;419;99,2;4,4;17,1;0,53;13,3;6,7;0
Haricot vert, surgelé, cuit;152;36,3;1,95;5,1;0,19;1,23;-;0
Artichaut, cuit à la vapeur sous pression;195;47,3;2,63;3,24;< 0,3;1,9;< 0,2;0
Asperge, appertisée, égouttée;-;-;1,58;1,43;0,27;1,23;0,45;0
Chou de Bruxelles, appertisé, égoutté;-;-;2,5;4,1;0,53;2,5;-;0
Céleri branche, appertisé, égoutté;54,4;13,1;0,63;1,38;0,15;0,8;-;0
Champignon de Paris ou champignon de couche, appertisé, égoutté;80,8;19,4;2,23;0,7;0,37;0;0;0
Salsifis, appertisé, égoutté;-;-;1,25;4,25;0,15;1;-;0
Poivron vert, cuit;-;-;0,92;2,36;0,2;2,36;1,14;0
Poivron rouge, cuit;-;-;1,4;7;0,3;6;-;0
Petits pois et carottes, appertisés, égouttés;206;49;2,51;7,39;0,33;3,58;0,4;0
Chou-rave, bouilli/cuit à l'eau;-;-;1,8;4,4;0,11;2,8;-;0
Chou rouge, bouilli/cuit à l'eau;-;-;1,51;3,32;0,09;3,32;1,42;0
Potiron, cuit;-;-;0,81;4,5;0,07;3,1;0,58;0
Champignon de Paris ou champignon de couche, bouilli/cuit à l'eau;120;28,7;2,17;3;0,47;2,34;-;0
Fenouil, bouilli/cuit à l'eau;-;-;1,13;0,8;< 0,1;0,5;0,3;0
Épinard, surgelé, cuit;-;-;4,01;0,51;0,87;0,51;0,2;0
Chou-fleur, surgelé, cuit;74,8;18;1,61;1,05;0,22;1,03;-;0
Petits pois, surgelés, cuits;-;-;5,15;7,95;0,27;4,65;0,12;0
Champignon de Paris ou champignon de couche, sauté/poêlé, sans matière grasse;161;38,4;4,44;4,53;0,6;traces;< 0,2;0
Panais, cuit;286;67,8;1,32;13,4;0,3;4,8;-;0
Fondue de poireau;-;-;1,1;0;5,2;-;-;0
Courge doubeurre (butternut), pulpe, cuite;-;-;1,23;-;0,07;-;-;0
Courge spaghetti, pulpe, cuite;-;-;0,66;5,06;0,26;2,53;-;0
Artichaut, coeur, appertisé, égoutté;109;26;1,8;2,31;< 0,5;1,2;0,6;0
Artichaut, fond, appertisé, égoutté;106;25,2;1,2;3,02;< 0,5;0,8;< 0,2;0
Tétragone cornue, cuite;-;-;1,3;1;0,17;0,25;-;0
Rutabaga, cuit;-;-;0,93;4,26;0,18;3,95;2,06;0
Tomate, pulpe, appertisée;110;26,1;1,2;3,63;< 0,5;3,2;1,5;0
Tomate, purée, appertisée;199;47,1;1,4;7,54;0,4;3,64;1,86;0
Bambou, pousses, appertisées, égouttées;-;-;1,61;1,9;0,15;1,15;0,28;0
Brocoli, surgelé, cuit;-;-;3,1;2,36;0,11;1,47;-;0
Chou de Bruxelles, surgelé, cuit;-;-;3,64;4,22;0,39;2,08;-;0
Carotte, surgelée, cuite;137;32,9;0,58;4,52;0,68;4,08;0,36;0
Champignon, lentin comestible ou shiitaké, cuit;258;60,9;1,56;12,3;0,22;3,84;-;0
Petits pois et carottes, surgelés, cuits;-;-;3,09;7,02;0,42;4,36;-;0
Pois mange-tout ou pois gourmand, bouilli/cuit à l'eau;128;30,5;2,25;3,39;0,3;2,3;1,6;0
Chou frisé, cuit;-;-;1,9;3,63;0,4;1,25;-;0
Chou chinois (pak-choi ou pé-tsai), cuit;-;-;1,53;0,75;0,17;0,75;-;0
Cardon, cuit;-;-;0,76;3,63;0,11;-;-;0
Tomate, pulpe et peau, bouillie/cuite à l'eau;-;-;0,95;2,8;0,11;2,49;1,18;0
Pois mange-tout ou pois gourmands, cuits;-;-;3,5;5,92;0,38;4,82;-;0
Échalote, cuite;-;-;2,13;13,5;< 0,5;6,3;0,59;0
Haricots verts, purée;-;-;1,7;4,2;2,9;1,5;-;0
Légumes (3-4 sortes en mélange), purée;257;61,8;1,94;4,25;3,4;2,4;0,5;0
Brocoli, purée;-;-;2,5;2,75;0,38;1,65;0,85;0
Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%);-;-;2,05;8,53;0,2;5,5;2,6;0
Carotte, purée;132;31,5;0,88;5,06;< 0,3;4,8;0,26;0
Courgette, purée;-;-;2,8;6,5;1,9;2,3;-;0
Tomate, double concentré, appertisé;392;92,8;3,73;17;0,29;16,5;6,56;0
Macédoine de légumes, surgelée, pré-cuite (à recuire);228;54,5;3,48;6,8;0,28;3,35;0,6;0
Poivron rouge, appertisé, égoutté;-;-;0,91;4,42;0,77;3,64;1,65;0
Asperge blanche, bouillie/cuite à l'eau;78,1;18,6;1,44;1,63;0,3;1,2;0,4;0
Céleri-rave, purée;-;-;1,37;2,83;0,18;2,11;0,8;0
Petits pois, purée;-;-;4,8;8;2,8;3;-;0
Épinard, purée;-;-;3,7;5,2;2,2;1,2;-;0
Tomate, pulpe et peau, rôtie/cuite au four;130;31,1;0,88;4,13;0,6;3,7;1,66;0
Chou romanesco ou brocoli à pomme, cuit;149;35,8;3;2,03;0,8;1,6;0,7;0
Potimarron, pulpe, cuit à l'étouffée;188;44,8;1,31;7,05;0,5;4,5;1,6;0
Courge musquée, pulpe, cuite;129;30,7;1,06;5,24;< 0,5;4;0,6;0
Carotte, purée cuisinée à la crème, préemballée;185;44,4;1,44;4,57;1,6;4,39;0,39;0
Asperge verte, bouillie/cuite à l'eau;112;26,6;2,69;1,73;0,3;1,3;0,3;0
Aubergine, pulpe et peau, rôtie/cuite au four;143;33,8;1,31;3,83;< 0,3;3,4;1,8;0
Bette ou blette, côte et feuille, bouillie/cuite à l'eau;70;16,9;0,88;1,43;0,3;1;0,7;0
Brocoli, bouilli/cuit à l'eau, croquant;98,1;23,5;2,5;1,23;0,4;0,8;0,4;0
Brocoli, bouilli/cuit à l'eau, fondant;96,1;23,1;2,19;1,03;0,5;0,6;0,3;0
Brocoli, cuit à la vapeur;158;37,6;4,13;2,53;0,7;1,5;0,7;0
Carotte, bouillie/cuite à l'eau, croquante;150;35,7;0,75;6,33;< 0,3;5,9;0,8;0
Carotte, bouillie/cuite à l'eau, fondante;132;31,6;< 0,5;5,73;< 0,3;5,1;0,7;0
Carotte, cuite à la vapeur;175;41,6;0,63;7,33;0,3;6,9;0,9;0
Chou blanc, bouilli/cuit à l'eau;98,1;23,5;1;3,23;< 0,3;2,8;1,4;0
Chou de Bruxelles, bouilli/cuit à l'eau;190;45,4;3,19;5,4;< 0,3;4,1;0,8;0
Chou rouge, cuit à l'étouffée;146;34,9;1,19;5,7;< 0,3;4,5;2,2;0
Chou vert, bouilli/cuit à l'eau;90;21,6;1,63;1,83;< 0,3;1,4;0,7;0
Chou-fleur, cuit à la vapeur;127;30,1;2,56;3,41;0,3;2,4;0,9;0
Courgette, pulpe et peau, rôtie/cuite au four;96,6;23;1,5;3,13;< 0,3;2,7;1,2;0
Céleri branche, cuit à l'étouffée;70;16,7;0,75;2,48;< 0,3;1,7;0,8;0
Céleri rave, bouilli/cuit à l'eau;110;26,2;0,94;4,32;0,3;1,2;< 0,2;0
Endive, rôtie/cuite au four;99,5;23,5;1,13;4,38;< 0,3;3,2;2,2;0
Fenouil, cuit à l'étouffée;57,1;13,7;< 0,5;1,94;< 0,3;1,3;0,8;0
Haricot beurre, bouilli/cuit à l'eau;145;34,6;2,19;4,45;0,3;2,2;0,7;0
Haricot vert, bouilli/cuit à l'eau;117;28;1,75;3,39;< 0,3;2,5;0,9;0
Navet, bouilli/cuit à l'eau;88,3;21,1;0,75;3,23;< 0,3;2,8;1,6;0
Oignon blanc ou jaune, sauté/poêlé sans matière grasse;169;40,2;1,56;6,73;< 0,3;5;2;0
Oignon nouveau ou oignon frais ou cébette, sauté/poêlé sans matière grasse;115;27,6;1,13;3,56;0,3;2,8;0,9;0
Oignon rouge, sauté/poêlé sans matière grasse;179;42,4;1,69;7,55;< 0,3;6,7;2,5;0
Panais, cuit à l'étouffée;383;90,8;1,94;16,6;0,5;6,2;< 0,2;0
Petits pois, bouillis/cuits à l'eau;338;80,3;6,38;9,93;0,6;1,6;< 0,2;0
Poireau, bouilli/cuit à l'eau;114;27,4;2,56;2,23;< 0,3;1,8;0,7;0
Poivron jaune, sauté/poêlé sans matière grasse;150;35,8;1;5,33;0,6;4,9;2,3;0
Poivron rouge, sauté/poêlé sans matière grasse;151;35,7;0,94;6,53;< 0,3;6,1;2,8;0
Poivron vert, sauté/poêlé sans matière grasse;120;28,6;1,25;3,53;0,3;3,1;1,6;0
Potimarron, pulpe, bouilli/cuit à l'eau;161;38,2;1,06;6,88;0,3;3,5;1,3;0
Potiron, rôti/cuit au four;127;30,2;< 0,5;5,66;< 0,3;4,8;1,2;0
Salsifis, bouilli/cuit à l'eau;243;57,9;2,63;9,29;< 0,3;2,3;< 0,2;0
Tomate, rôtie/cuite au four;106;25,3;1;3,53;0,4;3,1;1,4;0
Échalote, sautée/poêlée sans matière grasse;282;66,9;2;12,3;0,4;3,8;0,5;0
Épinard, bouilli/cuit à l'eau;117;28,1;3,38;< 0,85;0,7;traces;< 0,2;0
Légumes pour couscous, cuits;-;-;1,53;2,55;0,43;1,1;0,4;0
Légume cuit (aliment moyen);183;43,5;2,11;5,81;0,3;2,48;0,7;0
Crosne, cuit;215;50,8;2,13;9,11;< 0,5;0,2;< 0,2;0
Gombo, fruit, cuit;-;-;1,87;2,01;0,21;2,01;-;0
Carotte, déshydratée;-;-;8,1;56;1,49;38,8;-;0
Oignon, séché;-;-;8,95;75;0,46;37,4;-;0
Tomate, séchée;-;-;14,2;43,3;2,99;37,6;-;0
Champignon noir, séché;-;-;7,27;-;0,075;0;< 0,3;0
Champignon, lentin comestible ou shiitaké, séché;1330;316;9,58;63,9;0,99;2,21;-;0
Tomate, séchée, à l'huile;779;187;4,27;13,4;11,7;6,5;2,88;0
Banane jaune, pulpe, cuite à la vapeur, prélevée à la Martinique;-;-;1,06;-;0,057;-;-;0
Chips de giraumon (variété locale), pulpe, prélevé à la Martinique;-;-;-;12,3;-;0,44;0,054;0
Chips de giraumon (variété phoenix), pulpe, prélevé à la Martinique;-;-;-;13,9;-;0,2;0,036;0
Chou dur ou chou caraïbe, pulpe, cuit à la vapeur, prélevé à la Martinique;-;-;3,25;-;0,0033;-;-;0
Christophine à peau blanche, pulpe, cuite à la vapeur, prélevée à la Martinique;-;-;1,21;5,93;0,033;-;-;0
Christophine à peau verte, pulpe, cuite à la vapeur, prélevée à la Martinique;-;-;1,23;4,6;0,023;-;-;0
Christophine blanche, pulpe, appertisée, non égouttée, prélevée à la Martinique;-;-;-;-;-;-;-;0
Christophine, pulpe, cuite à la vapeur, surgelée, prélevée à la Martinique;-;-;-;-;-;-;-;0
Concombre, pulpe avec graines, cru, prélevé à la Martinique;-;-;0,73;-;0,58;-;-;0
Concombre, pulpe, cru, prélevé à la Martinique;-;-;0,42;-;0,27;-;-;0
Cresson, feuille, cru, prélevé à la Martinique;-;-;2,25;traces;0,1;-;-;0
Dachine, pulpe, cuit à la vapeur, prélevé à la Martinique;-;-;1,15;-;0,3;-;-;0
Farine de pulpe de patate douce, prélevée à la Martinique;-;-;-;50,1;-;0,018;0,0057;0
